Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,Yes,Travel_Rarely,588,Research & Development,27,4,Human Resources,1,7199,1,Male,33.0,1,4,Manager,1,Married,48776.0,1268176.0,4,Y,No,31.0,4.0,1,80,2,10,4.0,4.0,8,4,2,2
51,Yes,Travel_Frequently,1345,Human Resources,13,1,Life Sciences,1,831,1,Female,169.0,3,5,Research Scientist,1,Divorced,27724.0,609928.0,1,Y,No,23.0,3.0,4,80,2,19,3.0,3.0,18,1,3,16
19,Yes,Travel_Frequently,894,Support,24,4,Medical,1,8923,2,Male,42.0,4,3,Sales Executive,2,Single,38922.0,505986.0,0,Y,No,49.0,3.0,2,80,2,10,2.0,2.0,6,4,4,2
32,No,Non-Travel,379,Sales,21,1,Human Resources,1,9915,1,Female,55.0,4,1,Healthcare Representative,3,Single,3457.0,31113.0,4,Y,Yes,27.0,3.0,4,80,3,33,5.0,4.0,27,11,22,11
35,Yes,Non-Travel,117,Human Resources,15,5,Human Resources,1,5607,2,Male,107.0,4,3,Manager,4,Single,3988.0,43868.0,0,Y,Yes,29.0,3.0,3,80,3,19,5.0,2.0,15,6,1,1
38,No,Travel_Rarely,1146,Software,44,1,Technical Degree,1,7414,1,Male,149.0,1,3,Healthcare Representative,2,Divorced,10533.0,263325.0,1,Y,No,43.0,4.0,3,80,4,12,5.0,1.0,6,3,3,6
47,Yes,Travel_Frequently,1177,Human Resources,49,2,Marketing,1,8565,1,Female,102.0,3,3,Human Resources,3,Married,24288.0,558624.0,1,Y,Yes,25.0,3.0,1,80,1,1,4.0,3.0,1,1,1,1
60,No,Travel_Rarely,423,Support,45,5,Technical Degree,1,2393,3,Female,152.0,4,4,Sales Representative,4,Married,14263.0,114104.0,6,Y,Yes,22.0,3.0,2,80,4,19,3.0,4.0,8,6,1,1
53,Yes,Travel_Rarely,1097,Human Resources,50,4,Life Sciences,1,8152,2,Male,129.0,4,1,Research Scientist,2,Divorced,7509.0,195234.0,6,Y,No,18.0,1.0,3,80,2,9,3.0,4.0,3,2,1,1
55,No,Travel_Frequently,326,Sales,24,2,Marketing,1,7328,3,Male,168.0,3,2,Research Scientist,1,Divorced,24587.0,196696.0,7,Y,Yes,46.0,1.0,2,80,2,2,1.0,1.0,1,1,1,1
46,No,Travel_Frequently,309,Research & Development,49,3,Human Resources,1,3471,3,Male,173.0,3,2,Human Resources,4,Divorced,12662.0,316550.0,2,Y,Yes,11.0,3.0,2,80,3,10,3.0,4.0,9,2,7,9
49,Yes,Travel_Rarely,248,Software,26,5,Medical,1,159,1,Female,67.0,3,4,Research Scientist,3,Married,5726.0,114520.0,4,Y,No,5.0,2.0,4,80,4,26,3.0,4.0,2,2,1,2
56,Yes,Travel_Rarely,1442,Support,10,3,Marketing,1,6755,3,Female,197.0,2,2,Manufacturing Director,3,Divorced,20700.0,227700.0,3,Y,Yes,36.0,4.0,1,80,2,18,3.0,3.0,1,1,1,1
51,No,Non-Travel,1297,Research & Development,34,4,Life Sciences,1,6645,4,Male,173.0,2,1,Laboratory Technician,4,Married,20343.0,61029.0,8,Y,No,42.0,3.0,2,80,2,33,1.0,4.0,21,14,6,3
38,No,Travel_Rarely,228,Software,27,1,Other,1,3925,3,Male,197.0,2,1,Manufacturing Director,2,Single,36075.0,793650.0,2,Y,Yes,33.0,1.0,1,80,2,1,3.0,2.0,1,1,1,1
34,No,Travel_Rarely,1486,Hardware,26,4,Medical,1,1253,4,Female,147.0,4,3,Human Resources,1,Divorced,29479.0,235832.0,1,Y,No,40.0,3.0,4,80,1,22,1.0,4.0,22,18,18,8
38,Yes,Non-Travel,166,Research & Development,3,1,Technical Degree,1,8235,2,Female,195.0,1,1,Manager,2,Married,43656.0,1047744.0,1,Y,No,29.0,3.0,4,80,2,10,6.0,1.0,10,4,9,6
44,Yes,Non-Travel,812,Support,50,5,Life Sciences,1,5729,3,Female,144.0,1,2,Research Director,4,Single,39124.0,586860.0,3,Y,No,18.0,1.0,1,80,1,11,6.0,1.0,1,1,1,1
39,Yes,Non-Travel,1120,Human Resources,18,4,Human Resources,1,4662,4,Male,40.0,2,3,Manufacturing Director,4,Divorced,7565.0,30260.0,7,Y,No,14.0,3.0,1,80,2,29,4.0,4.0,3,3,3,1
56,Yes,Non-Travel,1227,Software,40,1,Other,1,5765,2,Female,196.0,3,3,Manager,4,Married,23163.0,115815.0,0,Y,No,38.0,4.0,3,80,4,39,4.0,3.0,37,18,12,12
41,No,Non-Travel,1432,Human Resources,50,1,Medical,1,1538,1,Female,187.0,1,1,Manager,2,Single,43188.0,820572.0,5,Y,No,19.0,1.0,1,80,4,28,6.0,4.0,23,3,8,7
48,No,Travel_Frequently,908,Research & Development,33,4,Life Sciences,1,260,2,Female,58.0,3,2,Laboratory Technician,3,Married,40306.0,806120.0,2,Y,Yes,19.0,4.0,2,80,2,16,3.0,4.0,8,4,1,8
40,Yes,Travel_Rarely,506,Human Resources,12,1,Life Sciences,1,4494,4,Female,143.0,2,3,Sales Executive,3,Single,20317.0,325072.0,4,Y,Yes,35.0,4.0,3,80,3,36,2.0,1.0,9,6,1,9
46,No,Travel_Rarely,1372,Research & Development,37,5,Technical Degree,1,4573,2,Male,135.0,2,5,Sales Executive,3,Divorced,24101.0,578424.0,5,Y,Yes,20.0,2.0,2,80,1,14,5.0,3.0,5,5,3,1
33,No,Travel_Frequently,963,Hardware,38,3,Technical Degree,1,3885,3,Male,138.0,2,2,Healthcare Representative,2,Single,26221.0,288431.0,6,Y,Yes,8.0,3.0,1,80,2,1,5.0,3.0,1,1,1,1
26,Yes,Travel_Frequently,759,Sales,43,1,Human Resources,1,7531,3,Female,185.0,4,4,Sales Representative,2,Married,39793.0,716274.0,0,Y,No,49.0,3.0,1,80,4,4,3.0,1.0,3,2,2,1
32,Yes,Travel_Frequently,903,Software,46,3,Other,1,2301,4,Female,196.0,2,3,Manufacturing Director,2,Divorced,40241.0,1006025.0,4,Y,No,46.0,2.0,1,80,1,26,2.0,4.0,19,14,8,2
31,No,Travel_Rarely,375,Research & Development,30,4,Marketing,1,5663,3,Male,184.0,4,5,Healthcare Representative,1,Single,18708.0,224496.0,6,Y,Yes,15.0,4.0,4,80,2,22,3.0,1.0,11,9,11,4
40,Yes,Travel_Frequently,800,Support,30,4,Technical Degree,1,2602,2,Female,167.0,3,2,Human Resources,2,Divorced,12552.0,288696.0,7,Y,Yes,34.0,1.0,3,80,3,5,2.0,2.0,1,1,1,1
54,Yes,Non-Travel,992,Research & Development,9,5,Other,1,5367,1,Male,121.0,4,4,Laboratory Technician,2,Single,39198.0,391980.0,8,Y,Yes,44.0,1.0,4,80,1,23,2.0,3.0,19,17,14,9
35,No,Non-Travel,622,Research & Development,3,5,Technical Degree,1,1020,4,Female,87.0,1,1,Research Scientist,2,Married,33541.0,67082.0,6,Y,Yes,2.0,3.0,2,80,3,19,6.0,4.0,13,13,12,5
30,Yes,Travel_Rarely,376,Hardware,8,3,Technical Degree,1,5960,4,Male,170.0,4,1,Human Resources,1,Married,4252.0,72284.0,0,Y,Yes,6.0,4.0,2,80,2,5,6.0,1.0,1,1,1,1
37,Yes,Travel_Rarely,1130,Hardware,31,1,Technical Degree,1,1801,3,Female,30.0,4,1,Sales Executive,2,Single,28716.0,516888.0,1,Y,No,33.0,4.0,1,80,2,28,5.0,4.0,11,9,8,4
56,No,Travel_Rarely,562,Hardware,11,1,Technical Degree,1,135,1,Male,176.0,4,5,Laboratory Technician,3,Single,4951.0,128726.0,7,Y,No,30.0,4.0,2,80,1,19,4.0,1.0,13,13,8,5
49,Yes,Non-Travel,1478,Human Resources,20,4,Medical,1,7333,3,Female,32.0,4,3,Research Director,4,Single,14810.0,133290.0,5,Y,No,21.0,2.0,1,80,1,40,1.0,1.0,19,13,8,1
32,No,Travel_Rarely,1277,Support,15,3,Marketing,1,5958,3,Female,181.0,2,1,Healthcare Representative,1,Divorced,36351.0,545265.0,3,Y,Yes,3.0,3.0,1,80,3,11,5.0,1.0,6,2,5,2
19,No,Non-Travel,1386,Research & Development,4,3,Life Sciences,1,7549,2,Male,105.0,2,1,Sales Representative,4,Single,44258.0,973676.0,2,Y,No,20.0,4.0,2,80,4,30,6.0,1.0,20,3,10,4
60,No,Travel_Frequently,519,Hardware,39,3,Technical Degree,1,8121,1,Male,146.0,1,1,Developer,3,Married,21536.0,279968.0,4,Y,No,44.0,3.0,4,80,3,14,2.0,2.0,12,7,5,3
37,No,Non-Travel,508,Hardware,17,5,Life Sciences,1,6532,2,Male,175.0,2,5,Human Resources,4,Married,38420.0,614720.0,4,Y,Yes,8.0,3.0,4,80,2,22,3.0,2.0,11,9,3,2
46,No,Non-Travel,1248,Software,25,2,Life Sciences,1,4659,1,Male,188.0,3,5,Research Scientist,4,Single,11026.0,121286.0,1,Y,No,21.0,2.0,3,80,3,24,1.0,2.0,10,1,4,4
51,No,Travel_Frequently,1485,Software,18,3,Other,1,2512,1,Male,62.0,1,4,Manufacturing Director,1,Married,19692.0,492300.0,3,Y,No,31.0,2.0,1,80,1,23,1.0,4.0,3,2,3,1
41,Yes,Travel_Rarely,711,Hardware,49,5,Human Resources,1,9892,4,Male,77.0,3,3,Manufacturing Director,1,Divorced,17466.0,384252.0,0,Y,Yes,24.0,4.0,2,80,3,9,1.0,3.0,7,4,5,2
37,No,Travel_Frequently,108,Software,25,1,Human Resources,1,9403,4,Female,91.0,4,1,Healthcare Representative,4,Divorced,7066.0,98924.0,5,Y,Yes,26.0,3.0,1,80,4,24,6.0,3.0,1,1,1,1
30,Yes,Travel_Rarely,636,Software,34,5,Marketing,1,3602,2,Male,64.0,1,1,Research Scientist,1,Single,16992.0,118944.0,6,Y,No,42.0,4.0,4,80,1,32,3.0,3.0,4,1,1,1
24,No,Travel_Rarely,1380,Research & Development,14,2,Other,1,602,4,Male,44.0,4,1,Human Resources,4,Divorced,36026.0,288208.0,5,Y,No,0.0,3.0,2,80,3,25,2.0,1.0,2,1,1,1
30,No,Travel_Frequently,318,Human Resources,7,1,Marketing,1,6972,3,Male,105.0,4,5,Manufacturing Director,3,Single,9390.0,234750.0,3,Y,No,45.0,2.0,2,80,2,34,6.0,1.0,10,6,10,6
36,Yes,Travel_Rarely,854,Hardware,14,1,Marketing,1,9693,1,Male,110.0,3,1,Research Scientist,4,Single,16750.0,335000.0,5,Y,Yes,12.0,2.0,2,80,2,7,5.0,2.0,3,2,2,3
59,No,Non-Travel,1241,Support,46,1,Technical Degree,1,6725,4,Female,56.0,4,3,Sales Representative,2,Married,19337.0,348066.0,0,Y,Yes,11.0,2.0,4,80,3,29,4.0,1.0,28,11,19,27
52,No,Travel_Rarely,327,Support,40,5,Other,1,8581,4,Male,190.0,3,3,Research Scientist,2,Single,46010.0,1288280.0,2,Y,Yes,30.0,4.0,3,80,1,20,4.0,1.0,7,5,7,2
47,Yes,Non-Travel,229,Support,30,5,Technical Degree,1,1746,1,Male,99.0,2,5,Manufacturing Director,4,Married,36957.0,554355.0,4,Y,Yes,41.0,1.0,3,80,4,19,1.0,1.0,5,2,1,4
50,No,Non-Travel,933,Software,47,4,Technical Degree,1,4441,2,Male,111.0,4,2,Laboratory Technician,1,Divorced,33569.0,503535.0,8,Y,Yes,11.0,4.0,1,80,1,30,1.0,4.0,7,3,5,3
59,No,Travel_Frequently,449,Human Resources,20,2,Life Sciences,1,9665,1,Female,64.0,2,3,Human Resources,4,Married,39743.0,635888.0,0,Y,No,35.0,2.0,2,80,4,17,5.0,2.0,12,12,9,4
54,No,Travel_Rarely,253,Research & Development,9,1,Marketing,1,5318,3,Female,170.0,3,3,Sales Representative,1,Married,13865.0,194110.0,6,Y,No,33.0,2.0,1,80,4,26,3.0,2.0,24,1,8,13
35,Yes,Non-Travel,477,Support,34,1,Life Sciences,1,5043,4,Male,138.0,1,5,Manager,1,Married,6916.0,6916.0,6,Y,Yes,34.0,3.0,3,80,4,2,3.0,2.0,2,1,1,1
51,No,Travel_Frequently,274,Sales,15,5,Technical Degree,1,9159,4,Male,53.0,2,2,Sales Representative,3,Married,49304.0,1084688.0,6,Y,Yes,25.0,4.0,1,80,1,40,5.0,2.0,27,8,17,12
31,No,Travel_Rarely,1226,Software,26,4,Marketing,1,2666,2,Female,99.0,1,4,Developer,3,Single,3053.0,91590.0,1,Y,No,42.0,2.0,1,80,1,12,5.0,3.0,9,6,7,1
51,No,Travel_Rarely,1406,Software,36,5,Marketing,1,7121,1,Female,42.0,3,4,Manager,3,Married,8386.0,25158.0,3,Y,No,44.0,4.0,3,80,1,2,1.0,1.0,1,1,1,1
0,Yes,Travel_Frequently,1091,Support,15,3,Other,1,2729,2,Female,179.0,3,1,Sales Representative,3,Divorced,27259.0,572439.0,8,Y,No,25.0,2.0,3,80,1,26,1.0,1.0,22,9,19,21
57,No,Travel_Frequently,912,Research & Development,19,1,Technical Degree,1,4729,3,Male,117.0,3,4,Developer,1,Divorced,45274.0,1312946.0,8,Y,Yes,15.0,1.0,4,80,4,28,6.0,4.0,27,6,3,13
48,Yes,Non-Travel,1376,Human Resources,19,3,Technical Degree,1,227,3,Male,156.0,3,2,Manager,3,Single,29810.0,655820.0,4,Y,No,3.0,1.0,2,80,1,37,4.0,4.0,29,10,3,22
59,Yes,Non-Travel,1398,Software,43,2,Life Sciences,1,4936,1,Female,105.0,3,2,Laboratory Technician,3,Married,21296.0,404624.0,7,Y,No,49.0,2.0,3,80,3,6,6.0,4.0,1,1,1,1
19,No,Non-Travel,632,Hardware,16,3,Human Resources,1,4245,2,Male,136.0,1,4,Manager,2,Divorced,43617.0,1221276.0,6,Y,No,22.0,3.0,4,80,2,12,4.0,3.0,9,2,1,3
42,Yes,Travel_Rarely,290,Human Resources,3,1,Human Resources,1,8936,3,Female,163.0,4,2,Human Resources,4,Divorced,35901.0,323109.0,0,Y,Yes,13.0,3.0,4,80,1,21,5.0,2.0,5,5,1,5
43,Yes,Travel_Rarely,1424,Research & Development,35,1,Marketing,1,3082,3,Female,143.0,3,3,Research Director,3,Married,22262.0,311668.0,8,Y,Yes,26.0,2.0,1,80,2,29,1.0,1.0,19,14,14,6
56,Yes,Travel_Rarely,1158,Human Resources,22,1,Medical,1,9407,1,Female,58.0,4,5,Sales Executive,2,Single,12121.0,266662.0,8,Y,Yes,29.0,4.0,4,80,3,33,5.0,4.0,28,28,8,11
44,No,Non-Travel,1204,Research & Development,17,1,Medical,1,1917,2,Male,64.0,3,1,Research Director,3,Single,14728.0,103096.0,6,Y,No,47.0,3.0,4,80,2,21,2.0,4.0,7,5,6,7
31,Yes,Non-Travel,1114,Hardware,48,4,Other,1,6363,3,Female,80.0,2,5,Sales Representative,1,Divorced,29426.0,29426.0,1,Y,No,11.0,2.0,2,80,1,20,4.0,2.0,8,2,3,4
60,Yes,Non-Travel,221,Software,11,3,Life Sciences,1,9589,1,Female,189.0,2,1,Sales Executive,3,Single,14361.0,28722.0,2,Y,Yes,8.0,1.0,1,80,3,34,5.0,1.0,13,6,13,13
52,No,Non-Travel,334,Hardware,15,3,Human Resources,1,2093,1,Female,137.0,2,4,Manager,1,Single,21694.0,455574.0,5,Y,Yes,39.0,3.0,4,80,3,38,4.0,2.0,35,14,23,18
48,No,Non-Travel,968,Research & Development,5,2,Life Sciences,1,7951,4,Male,44.0,4,4,Research Director,3,Married,4420.0,17680.0,7,Y,No,14.0,4.0,2,80,2,20,5.0,3.0,11,2,3,7
35,Yes,Travel_Rarely,1400,Human Resources,25,4,Life Sciences,1,50,3,Female,150.0,4,1,Sales Representative,4,Divorced,35309.0,918034.0,5,Y,No,20.0,3.0,4,80,2,38,3.0,2.0,26,17,11,12
59,Yes,Travel_Frequently,615,Hardware,41,5,Human Resources,1,3612,1,Female,113.0,4,1,Laboratory Technician,4,Married,8033.0,8033.0,4,Y,No,34.0,1.0,2,80,4,38,1.0,3.0,36,3,7,29
43,Yes,Non-Travel,690,Software,28,1,Life Sciences,1,3817,4,Female,119.0,4,4,Healthcare Representative,4,Divorced,34670.0,485380.0,7,Y,No,31.0,3.0,3,80,1,38,2.0,1.0,33,8,26,27
47,Yes,Non-Travel,551,Software,25,3,Life Sciences,1,5625,1,Male,60.0,2,4,Human Resources,3,Divorced,37363.0,635171.0,7,Y,Yes,25.0,4.0,3,80,1,26,3.0,1.0,24,22,13,15
47,Yes,Travel_Frequently,480,Sales,15,3,Technical Degree,1,6814,3,Female,166.0,4,2,Developer,3,Divorced,42788.0,599032.0,0,Y,Yes,18.0,3.0,4,80,2,39,1.0,1.0,14,1,12,1
28,No,Non-Travel,323,Human Resources,36,1,Life Sciences,1,5968,3,Female,35.0,3,2,Sales Representative,2,Divorced,50144.0,1203456.0,0,Y,No,37.0,4.0,3,80,3,4,4.0,1.0,1,1,1,1
21,No,Travel_Rarely,500,Support,42,5,Technical Degree,1,2880,1,Female,63.0,2,4,Developer,3,Married,41265.0,660240.0,1,Y,No,31.0,1.0,4,80,2,22,5.0,3.0,11,4,8,8
26,No,Travel_Rarely,885,Research & Development,23,5,Life Sciences,1,7090,2,Male,37.0,1,2,Sales Executive,1,Single,17774.0,231062.0,3,Y,No,8.0,2.0,4,80,3,13,1.0,1.0,2,2,2,2
53,No,Travel_Frequently,1313,Software,20,4,Medical,1,8862,1,Male,45.0,4,4,Sales Representative,4,Divorced,29550.0,118200.0,3,Y,No,21.0,2.0,1,80,2,33,1.0,2.0,14,6,11,14
49,Yes,Travel_Frequently,1485,Sales,30,3,Medical,1,271,2,Male,82.0,3,4,Research Scientist,2,Single,48516.0,145548.0,2,Y,Yes,29.0,1.0,3,80,2,23,1.0,4.0,14,1,5,10
26,No,Travel_Rarely,978,Sales,26,5,Life Sciences,1,8750,2,Female,152.0,3,3,Healthcare Representative,3,Divorced,34920.0,733320.0,8,Y,Yes,17.0,4.0,2,80,1,34,6.0,3.0,21,7,12,14
33,Yes,Non-Travel,1411,Human Resources,23,5,Technical Degree,1,8046,2,Male,72.0,1,4,Developer,2,Single,19683.0,295245.0,7,Y,No,45.0,1.0,2,80,3,17,6.0,2.0,16,15,2,2
60,Yes,Travel_Frequently,729,Research & Development,17,2,Medical,1,2144,2,Female,164.0,3,2,Developer,2,Married,26138.0,182966.0,6,Y,Yes,13.0,3.0,2,80,2,26,6.0,3.0,2,2,2,1
41,No,Non-Travel,999,Support,2,3,Marketing,1,7528,4,Female,111.0,2,1,Developer,4,Divorced,28428.0,511704.0,5,Y,No,44.0,3.0,1,80,4,17,5.0,3.0,4,4,1,2
34,Yes,Non-Travel,491,Hardware,6,2,Technical Degree,1,9821,2,Male,100.0,2,4,Laboratory Technician,1,Divorced,37445.0,149780.0,1,Y,Yes,0.0,3.0,2,80,1,9,6.0,1.0,3,1,1,1
51,No,Travel_Frequently,223,Software,49,4,Technical Degree,1,5577,4,Male,94.0,4,2,Research Scientist,1,Married,39640.0,554960.0,8,Y,No,28.0,3.0,1,80,2,2,6.0,4.0,1,1,1,1
36,Yes,Travel_Rarely,1099,Software,17,4,Marketing,1,9034,2,Female,148.0,1,5,Research Scientist,1,Married,27034.0,270340.0,7,Y,No,5.0,1.0,4,80,4,5,6.0,3.0,2,2,2,1
50,Yes,Non-Travel,1047,Human Resources,7,1,Other,1,23,4,Male,188.0,2,1,Healthcare Representative,2,Single,39576.0,910248.0,1,Y,No,46.0,2.0,1,80,4,31,1.0,1.0,18,5,8,12
33,Yes,Travel_Rarely,1331,Sales,13,5,Human Resources,1,955,4,Male,71.0,1,1,Sales Executive,4,Divorced,14656.0,322432.0,7,Y,Yes,44.0,3.0,3,80,4,30,1.0,3.0,16,12,10,2
58,No,Travel_Rarely,903,Software,30,3,Technical Degree,1,51,4,Female,170.0,4,3,Manager,2,Single,44334.0,1330020.0,2,Y,No,26.0,1.0,3,80,3,23,6.0,2.0,3,2,2,3
46,No,Travel_Frequently,838,Research & Development,43,5,Technical Degree,1,5025,3,Female,125.0,3,4,Healthcare Representative,1,Single,39672.0,1031472.0,0,Y,Yes,39.0,2.0,2,80,2,29,2.0,3.0,5,5,5,5
38,No,Travel_Frequently,1137,Support,23,2,Human Resources,1,3167,1,Female,62.0,4,5,Research Scientist,1,Married,19482.0,370158.0,1,Y,No,45.0,4.0,1,80,3,14,2.0,2.0,11,5,5,11
26,No,Travel_Frequently,220,Support,21,1,Technical Degree,1,8937,3,Female,137.0,2,1,Human Resources,1,Married,4223.0,92906.0,6,Y,Yes,2.0,4.0,4,80,2,5,1.0,2.0,2,2,2,1
30,Yes,Non-Travel,1259,Software,25,4,Medical,1,1490,3,Female,136.0,2,5,Healthcare Representative,3,Married,9596.0,9596.0,2,Y,Yes,15.0,3.0,1,80,3,30,4.0,1.0,4,1,4,2
45,No,Travel_Frequently,605,Research & Development,40,1,Marketing,1,6671,3,Male,83.0,3,3,Research Scientist,4,Married,41066.0,862386.0,7,Y,No,48.0,4.0,2,80,2,34,1.0,1.0,27,15,11,19
57,Yes,Travel_Frequently,181,Support,18,3,Marketing,1,5444,1,Female,57.0,4,2,Manager,3,Single,43141.0,345128.0,2,Y,No,19.0,2.0,4,80,3,29,4.0,1.0,11,2,4,10
49,Yes,Non-Travel,939,Human Resources,4,1,Marketing,1,2288,1,Female,77.0,1,4,Manufacturing Director,4,Married,22245.0,44490.0,4,Y,Yes,39.0,2.0,3,80,3,18,4.0,1.0,7,7,5,5
41,Yes,Non-Travel,496,Sales,40,5,Human Resources,1,8327,1,Female,190.0,1,4,Manager,3,Married,48384.0,1112832.0,6,Y,No,48.0,2.0,3,80,4,28,3.0,1.0,9,5,5,1
58,Yes,Non-Travel,1445,Support,12,5,Marketing,1,5341,1,Male,48.0,3,1,Research Director,2,Divorced,10577.0,275002.0,5,Y,No,41.0,3.0,4,80,2,11,5.0,2.0,7,7,6,2
33,Yes,Travel_Rarely,301,Support,16,4,Life Sciences,1,2428,3,Male,111.0,2,5,Manager,1,Divorced,14762.0,324764.0,0,Y,No,20.0,2.0,3,80,4,36,3.0,1.0,3,1,2,3
36,Yes,Travel_Frequently,225,Support,2,3,Other,1,2708,2,Male,40.0,2,2,Research Director,2,Single,25364.0,634100.0,8,Y,No,37.0,4.0,2,80,2,26,2.0,2.0,20,7,14,20
37,Yes,Travel_Rarely,1008,Support,43,1,Human Resources,1,8901,1,Male,168.0,1,5,Manufacturing Director,4,Single,49047.0,196188.0,3,Y,Yes,3.0,1.0,2,80,2,28,5.0,3.0,7,7,1,4
32,No,Travel_Frequently,661,Software,39,3,Technical Degree,1,6561,2,Male,55.0,1,2,Research Scientist,2,Single,42970.0,902370.0,4,Y,No,38.0,4.0,4,80,3,26,3.0,4.0,17,4,5,12
45,No,Travel_Frequently,186,Research & Development,42,3,Medical,1,8738,2,Male,158.0,4,4,Manager,1,Single,46978.0,140934.0,1,Y,No,40.0,4.0,1,80,1,10,3.0,2.0,1,1,1,1
29,No,Non-Travel,1129,Sales,33,5,Technical Degree,1,4435,2,Male,145.0,2,1,Sales Representative,3,Divorced,20469.0,245628.0,1,Y,Yes,14.0,3.0,2,80,1,24,5.0,1.0,8,2,1,3
53,Yes,Non-Travel,594,Research & Development,1,5,Marketing,1,3964,2,Male,160.0,1,3,Manager,2,Single,23645.0,425610.0,1,Y,No,46.0,3.0,3,80,2,27,3.0,3.0,21,2,18,19
30,Yes,Travel_Frequently,164,Support,47,2,Medical,1,4877,4,Female,55.0,4,5,Manufacturing Director,1,Married,41589.0,1206081.0,3,Y,No,0.0,2.0,4,80,3,28,2.0,1.0,2,2,1,1
21,Yes,Travel_Frequently,362,Software,43,5,Human Resources,1,5327,1,Female,125.0,3,4,Manufacturing Director,2,Single,30370.0,546660.0,3,Y,Yes,10.0,3.0,1,80,4,38,4.0,4.0,27,14,9,15
32,Yes,Travel_Frequently,1466,Support,15,4,Marketing,1,9666,4,Male,84.0,1,5,Laboratory Technician,3,Divorced,41243.0,907346.0,4,Y,Yes,9.0,3.0,3,80,2,34,1.0,3.0,19,2,2,4
57,Yes,Non-Travel,177,Hardware,29,2,Human Resources,1,5584,1,Female,160.0,4,1,Manufacturing Director,3,Divorced,44243.0,221215.0,7,Y,No,33.0,1.0,2,80,2,29,3.0,1.0,23,11,9,11
